date,open,close,high,low,volume,code
2017-02-08,10.03,12.04,12.04,10.03,42.0,300606
2017-02-09,13.24,13.24,13.24,13.24,33.0,300606
2017-02-10,14.56,14.56,14.56,14.56,33.0,300606
2017-02-13,16.02,16.02,16.02,16.02,36.0,300606
2017-02-14,17.62,17.62,17.62,17.62,66.0,300606
2017-02-15,19.38,19.38,19.38,19.38,64.0,300606
2017-02-16,21.32,21.32,21.32,21.32,69.0,300606
2017-02-17,23.45,23.45,23.45,23.45,195.0,300606
2017-02-20,25.8,25.8,25.8,25.8,258.0,300606
2017-02-21,28.38,28.38,28.38,28.38,536.0,300606
2017-02-22,31.22,31.22,31.22,31.22,678.0,300606
2017-02-23,34.34,34.34,34.34,34.34,605.0,300606
2017-02-24,37.77,37.77,37.77,37.77,595.0,300606
2017-02-27,41.55,41.55,41.55,41.55,4124.0,300606
2017-02-28,45.71,45.71,45.71,45.29,47637.0,300606
2017-03-01,46.0,45.7,48.5,44.33,143973.0,300606
2017-03-02,44.0,44.1,45.98,42.52,91680.0,300606
2017-03-03,43.7,44.2,45.64,43.4,63438.0,300606
2017-03-06,43.6,45.24,45.81,43.2,65418.0,300606
2017-03-07,45.11,46.03,46.3,44.68,66380.0,300606
2017-03-08,45.8,46.6,46.86,45.51,73188.0,300606
2017-03-09,46.2,44.55,46.2,44.2,57610.0,300606
2017-03-10,44.2,44.19,44.8,43.84,37394.0,300606
2017-03-13,44.02,45.04,45.28,43.31,45605.0,300606
2017-03-14,45.32,45.01,45.86,44.98,48310.0,300606
2017-03-15,44.82,45.05,45.27,43.8,38282.0,300606
2017-03-16,45.3,46.98,47.94,45.3,79819.0,300606
2017-03-17,46.8,45.63,48.02,45.55,67889.0,300606
2017-03-20,45.69,47.64,47.89,45.11,56006.0,300606
2017-03-21,48.35,48.66,49.49,47.64,74322.0,300606
2017-03-22,47.85,48.95,49.5,47.5,59302.0,300606
2017-03-23,48.8,47.43,49.6,45.45,59757.0,300606
2017-03-24,47.02,48.16,48.59,47.0,47071.0,300606
2017-03-27,48.53,49.4,49.95,47.56,56044.0,300606
2017-03-28,49.1,49.03,49.6,48.0,46384.0,300606
2017-03-29,48.54,44.63,48.55,44.6,48379.0,300606
2017-03-30,44.59,43.57,45.68,43.03,38799.0,300606
2017-03-31,43.05,42.8,44.17,42.74,29132.0,300606
2017-04-05,41.99,42.98,43.3,40.14,24772.0,300606
2017-04-06,42.72,42.99,43.9,42.58,18836.0,300606
2017-04-07,44.2,43.66,44.6,42.2,33175.0,300606
2017-04-10,43.05,39.29,43.2,39.29,31809.0,300606
2017-04-11,39.09,40.9,41.11,38.1,23962.0,300606
2017-04-12,40.7,39.4,40.88,39.0,11505.0,300606
2017-04-13,39.51,39.56,40.39,39.17,9671.0,300606
2017-04-14,39.2,38.12,39.32,38.01,11936.0,300606
