date,open,high,close,low,volume,amount
2017-05-10,13.63,13.65,13.19,13.18,5203622.0,69929397.0
2017-05-09,13.35,13.61,13.56,13.35,4977404.0,67277093.0
2017-05-08,13.29,13.77,13.31,13.18,6814675.0,91979767.0
2017-05-05,13.82,13.82,13.34,13.31,7989700.0,108208267.0
2017-05-04,14.12,14.12,13.87,13.82,6646193.0,92575438.0
2017-05-03,14.37,14.46,14.15,13.98,8808318.0,124677121.0
2017-05-02,14.81,14.81,14.36,14.32,8280620.0,119796025.0
2017-04-28,14.79,14.88,14.81,14.73,6081932.0,90134304.0
2017-04-27,14.66,15.0,14.97,14.26,8263038.0,121292767.0
2017-04-26,14.64,14.87,14.71,14.56,3896356.0,57262869.0
2017-04-25,14.58,14.76,14.59,14.55,3534881.0,51849808.0
2017-04-24,15.03,15.06,14.54,14.52,4884280.0,71584093.0
2017-04-21,15.08,15.16,15.03,14.94,3311104.0,49864635.0
2017-04-20,15.16,15.32,15.08,14.9,5324985.0,80431058.0
2017-04-19,14.82,15.19,15.18,14.63,7687123.0,115084024.0
2017-04-18,14.91,15.13,14.83,14.82,5010054.0,75078577.0
2017-04-17,14.83,14.93,14.89,14.55,7106366.0,105076477.0
2017-04-14,15.42,15.47,15.11,15.05,6952183.0,105627763.0
2017-04-13,15.41,15.63,15.48,15.37,4737389.0,73394282.0
2017-04-12,15.72,15.72,15.44,15.4,7312128.0,113559509.0
2017-04-11,15.5,15.75,15.74,15.33,10056859.0,156616024.0
2017-04-10,16.21,16.21,15.47,15.35,16098648.0,251337613.0
2017-04-07,16.58,16.58,16.23,16.21,11452694.0,187117688.0
2017-04-06,16.71,16.78,16.58,16.55,9556581.0,159105774.0
2017-04-05,16.33,16.7,16.67,16.33,9012452.0,149058527.0
2017-03-31,16.35,16.61,16.41,16.25,9766180.0,160514583.0
2017-03-30,16.4,16.54,16.34,16.12,14344173.0,233818995.0
2017-03-29,17.36,17.4,16.52,16.3,21105735.0,354571662.0
2017-03-28,18.21,18.22,17.29,17.26,24715572.0,438288452.0
2017-03-27,18.66,18.74,18.23,18.18,16326633.0,299759631.0
2017-03-24,18.53,18.67,18.46,18.32,19190800.0,354555409.0
2017-03-23,18.49,18.88,18.69,18.21,34458180.0,639830064.0
2017-03-22,18.47,18.59,18.45,18.16,21404738.0,393673455.0
2017-03-21,18.38,18.68,18.62,18.26,22334622.0,413040357.0
2017-03-20,18.0,18.49,18.47,17.83,23241944.0,422346252.0
2017-03-17,18.42,19.13,18.24,18.21,47346069.0,885307136.0
2017-03-16,17.78,18.65,18.34,17.78,34293116.0,628112250.0
2017-03-15,17.88,17.98,17.7,17.58,16341936.0,289882876.0
2017-03-14,17.78,18.28,18.03,17.71,21798182.0,393491406.0
2017-03-13,17.88,17.88,17.77,17.18,19086043.0,335298616.0
2017-03-10,18.05,18.39,17.89,17.85,22114888.0,399263191.0
2017-03-09,18.4,18.95,18.11,18.07,35692335.0,660047255.0
2017-03-08,18.16,18.69,18.66,17.86,39042062.0,714146146.0
2017-03-07,17.59,18.19,18.16,17.52,34347650.0,618262180.0
2017-03-06,17.4,17.67,17.6,17.37,15155007.0,265742130.0
2017-03-03,17.77,17.77,17.49,17.41,17817347.0,312163577.0
2017-03-02,17.35,18.16,17.86,17.32,34260460.0,608762040.0
2017-03-01,17.58,17.87,17.39,17.34,20717767.0,364501843.0
2017-02-28,17.44,17.79,17.63,17.39,16792016.0,294861681.0
2017-02-27,17.75,18.13,17.51,17.43,23847007.0,421931256.0
2017-02-24,17.24,18.17,17.82,17.16,38667435.0,686035137.0
2017-02-23,16.72,17.27,17.13,16.71,24341830.0,414500010.0
2017-02-22,17.11,17.11,16.71,16.66,20053293.0,336956682.0
2017-02-21,16.99,17.25,17.16,16.91,22225972.0,379534753.0
2017-02-20,17.0,17.15,17.1,16.45,32488280.0,545707219.0
2017-02-17,16.91,18.57,17.36,16.9,62285230.0,1103967952.0
2017-02-16,16.32,16.93,16.88,16.17,31557282.0,522179980.0
2017-02-15,16.11,16.98,16.43,16.02,41167201.0,680894793.0
2017-02-14,16.14,16.23,16.1,15.95,17252228.0,277413879.0
2017-02-13,15.73,16.39,16.21,15.69,24752810.0,398213139.0
2017-02-10,16.04,16.1,15.78,15.76,14421212.0,229023042.0
2017-02-09,16.11,16.23,16.04,15.94,16144119.0,259493860.0
2017-02-08,15.71,16.11,16.1,15.65,17426977.0,277214451.0
2017-02-07,15.83,16.1,15.79,15.65,19785237.0,313874303.0
2017-02-06,15.24,15.85,15.84,15.24,23225297.0,364162986.0
2017-02-03,15.14,15.28,15.17,15.0,8668903.0,131124537.0
2017-01-26,15.2,15.29,15.15,15.05,8388037.0,127129401.0
2017-01-25,15.05,15.29,15.2,14.93,9367632.0,142208072.0
2017-01-24,15.41,15.43,15.05,14.96,14715007.0,222727714.0
2017-01-23,15.42,15.63,15.47,15.35,13619538.0,211312411.0
2017-01-20,15.12,15.6,15.43,15.12,15943618.0,246346991.0
2017-01-19,15.01,15.57,15.21,14.9,15712126.0,239899215.0
2017-01-18,15.58,15.67,15.14,15.12,17181433.0,264205101.0
2017-01-17,15.0,15.96,15.78,14.65,26874933.0,411864714.0
2017-01-16,15.55,15.75,15.02,14.38,20910655.0,319720555.0
2017-01-13,16.0,16.12,15.74,15.66,16466892.0,260968941.0
2017-01-12,16.25,16.59,15.99,15.83,21522620.0,347992986.0
2017-01-11,17.26,17.26,16.44,16.39,28838846.0,483464123.0
2017-01-10,17.29,17.95,17.47,17.23,28663438.0,504353190.0
2017-01-09,17.3,17.53,17.3,17.1,27274573.0,470903409.0
2017-01-06,18.82,18.82,17.6,17.42,49197072.0,888786293.0
2017-01-05,19.88,20.0,19.11,19.0,60161854.0,1172100567.0
2017-01-04,19.8,21.73,20.35,19.67,94065454.0,1924484235.0
2017-01-03,19.0,20.67,20.67,18.5,107562352.0,2114629048.0
2016-12-30,18.79,18.79,18.79,18.79,945197.0,17760252.0
2016-12-29,17.08,17.08,17.08,17.08,121005.0,2066765.0
2016-12-28,15.53,15.53,15.53,15.53,52800.0,819984.0
2016-12-27,14.12,14.12,14.12,14.12,32860.0,463983.0
2016-12-26,10.7,12.84,12.84,10.7,78700.0,1008368.0
